user_id,user_name,user_age,user_join_date
1,user1,63,2016-11-05
2,user2,38,2017-10-12
3,user3,19,2016-04-01
4,user4,30,2017-04-26
5,user5,12,2016-03-01
6,user6,49,2018-05-17
7,user7,31,2017-12-29
8,user8,15,2016-06-13
9,user9,18,2016-05-28
10,user10,11,2017-02-24
11,user11,25,2016-01-30
12,user12,52,2016-11-18
13,user13,77,2016-04-12
14,user14,33,2016-12-30
15,user15,63,2017-05-20
16,user16,68,2018-03-06
17,user17,37,2016-03-25
18,user18,67,2016-10-30
19,user19,28,2016-03-02
20,user20,15,2018-03-15
